frequency_mhz,symbol_rate_msps,power_dbm,noise_hex,noise_dec,locked,esno_db
950,0.5,-60,0X1C51C,115996,True,1.65
950,0.5,-60,0X1C52C,116012,True,1.59
950,0.5,-60,0X1C53C,116028,True,1.48
950,0.5,-60,0X1C54C,116044,True,1.34
950,0.5,-60,0X1C55C,116060,True,1.24
950,0.5,-60,0X1C56C,116076,True,1.15
950,0.5,-60,0X1C57C,116092,True,1.03
950,0.5,-60,0X1C58C,116108,True,0.91
950,0.5,-60,0X1C59C,116124,True,0.82
950,0.5,-60,0X1C5AC,116140,True,0.68
950,0.5,-60,0X1C5BC,116156,True,0.57
950,0.5,-60,0X1C5CC,116172,True,0.5
950,0.5,-60,0X1C5DC,116188,True,0.44
950,0.5,-60,0X1C5EC,116204,True,0.3
950,0.5,-60,0X1C5FC,116220,True,0.26
950,0.5,-60,0X1C60C,116236,True,0.15
950,0.5,-60,0X1C61C,116252,True,0.02
950,0.5,-60,0X1C62C,116268,True,-0.01
950,0.5,-60,0X1C63C,116284,True,-0.09
950,0.5,-60,0X1C64C,116300,True,-0.19
950,0.5,-60,0X1C65C,116316,True,-0.29
950,0.5,-60,0X1C66C,116332,True,-0.41
950,0.5,-60,0X1C67C,116348,True,-0.49
950,0.5,-60,0X1C68C,116364,True,-0.59
950,0.5,-60,0X1C69C,116380,True,-0.67
950,0.5,-60,0X1C6AC,116396,True,-0.78
950,0.5,-60,0X1C6BC,116412,True,-0.83
950,0.5,-60,0X1C6CC,116428,True,-0.86
950,0.5,-60,0X1C6DC,116444,True,-0.98
950,0.5,-60,0X1C6EC,116460,True,-1.07
950,0.5,-60,0X1C6FC,116476,True,-1.16
950,0.5,-60,0X1C70C,116492,True,-1.23
950,0.5,-60,0X1C71C,116508,True,-1.35
950,0.5,-60,0X1C72C,116524,True,-1.4
950,0.5,-60,0X1C73C,116540,True,-1.47
950,0.5,-60,0X1C74C,116556,True,-1.56
950,0.5,-60,0X1C75C,116572,True,-1.64
950,0.5,-60,0X1C76C,116588,True,-1.72
950,0.5,-60,0X1C77C,116604,True,-1.8
950,0.5,-60,0X1C78C,116620,True,-1.87
950,0.5,-60,0X1C79C,116636,True,-1.97
950,0.5,-60,0X1C7AC,116652,True,-1.98
950,0.5,-60,0X1C7BC,116668,True,-2.07
950,0.5,-60,0X1C7CC,116684,True,-2.15
950,1.0,-60,0X1C000,114688,True,31.89
950,1.0,-60,0X1C00C,114700,True,31.47
950,1.0,-60,0X1C018,114712,True,30.12
950,1.0,-60,0X1C024,114724,True,28.52
950,1.0,-60,0X1C030,114736,True,26.97
950,1.0,-60,0X1C03C,114748,True,25.51
950,1.0,-60,0X1C048,114760,True,24.24
950,1.0,-60,0X1C054,114772,True,23.07
950,1.0,-60,0X1C060,114784,True,22.08
950,1.0,-60,0X1C06C,114796,True,21.13
950,1.0,-60,0X1C078,114808,True,20.33
950,1.0,-60,0X1C084,114820,True,19.52
950,1.0,-60,0X1C090,114832,True,18.8
950,1.0,-60,0X1C09C,114844,True,18.18
950,1.0,-60,0X1C0A8,114856,True,17.46
950,1.0,-60,0X1C0B4,114868,True,16.95
950,1.0,-60,0X1C0C0,114880,True,16.38
950,1.0,-60,0X1C0CC,114892,True,15.88
950,1.0,-60,0X1C0D8,114904,True,15.39
950,1.0,-60,0X1C0E4,114916,True,14.94
950,1.0,-60,0X1C0F0,114928,True,14.5
950,1.0,-60,0X1C0FC,114940,True,14.06
950,1.0,-60,0X1C108,114952,True,13.62
950,1.0,-60,0X1C114,114964,True,13.26
950,1.0,-60,0X1C120,114976,True,12.85
950,1.0,-60,0X1C12C,114988,True,12.47
950,1.0,-60,0X1C138,115000,True,12.13
950,1.0,-60,0X1C144,115012,True,11.82
950,1.0,-60,0X1C150,115024,True,11.48
950,1.0,-60,0X1C15C,115036,True,11.12
950,1.0,-60,0X1C168,115048,True,10.85
950,1.0,-60,0X1C174,115060,True,10.52
950,1.0,-60,0X1C180,115072,True,10.22
950,1.0,-60,0X1C18C,115084,True,9.98
950,1.0,-60,0X1C198,115096,True,9.68
950,1.0,-60,0X1C1A4,115108,True,9.39
950,1.0,-60,0X1C1B0,115120,True,9.12
950,1.0,-60,0X1C1BC,115132,True,8.89
950,1.0,-60,0X1C1C8,115144,True,8.61
950,1.0,-60,0X1C1D4,115156,True,8.34
950,1.0,-60,0X1C1E0,115168,True,8.12
950,1.0,-60,0X1C1EC,115180,True,7.93
950,1.0,-60,0X1C1F8,115192,True,7.7
950,1.0,-60,0X1C204,115204,True,7.41
950,1.0,-60,0X1C210,115216,True,7.25
950,1.0,-60,0X1C21C,115228,True,7.06
950,1.0,-60,0X1C228,115240,True,6.84
950,1.0,-60,0X1C234,115252,True,6.62
950,1.0,-60,0X1C240,115264,True,6.44
950,1.0,-60,0X1C24C,115276,True,6.23
950,1.0,-60,0X1C258,115288,True,6.04
950,1.0,-60,0X1C264,115300,True,5.88
950,1.0,-60,0X1C270,115312,True,5.67
950,1.0,-60,0X1C27C,115324,True,5.48
950,1.0,-60,0X1C288,115336,True,5.29
950,1.0,-60,0X1C294,115348,True,5.14
950,1.0,-60,0X1C2A0,115360,True,4.94
950,1.0,-60,0X1C2AC,115372,True,4.77
950,1.0,-60,0X1C2B8,115384,True,4.65
950,1.0,-60,0X1C2C4,115396,True,4.44
950,1.0,-60,0X1C2D0,115408,True,4.29
950,1.0,-60,0X1C2DC,115420,True,4.13
950,1.0,-60,0X1C2E8,115432,True,3.98
950,1.0,-60,0X1C2F4,115444,True,3.82
950,1.0,-60,0X1C300,115456,True,3.69
950,1.0,-60,0X1C30C,115468,True,3.52
950,1.0,-60,0X1C318,115480,True,3.35
950,1.0,-60,0X1C324,115492,True,3.24
950,1.0,-60,0X1C330,115504,True,3.11
950,1.0,-60,0X1C33C,115516,True,2.98
950,1.0,-60,0X1C348,115528,True,2.83
950,1.0,-60,0X1C354,115540,True,2.7
950,1.0,-60,0X1C360,115552,True,2.57
950,1.0,-60,0X1C36C,115564,True,2.42
950,1.0,-60,0X1C378,115576,True,2.24
950,1.0,-60,0X1C384,115588,True,2.19
950,1.0,-60,0X1C390,115600,True,2.02
950,1.0,-60,0X1C39C,115612,True,1.94
950,1.0,-60,0X1C3A8,115624,True,1.84
950,1.0,-60,0X1C3B4,115636,True,1.72
950,1.0,-60,0X1C3C0,115648,True,1.55
950,1.0,-60,0X1C3CC,115660,True,1.46
950,1.0,-60,0X1C3D8,115672,True,1.34
950,1.0,-60,0X1C3E4,115684,True,1.25
950,1.0,-60,0X1C3F0,115696,True,1.13
950,1.0,-60,0X1C3FC,115708,True,1.03
950,1.0,-60,0X1C408,115720,True,0.87
950,1.0,-60,0X1C414,115732,True,0.8
950,1.0,-60,0X1C420,115744,True,0.72
950,1.0,-60,0X1C42C,115756,True,0.6
950,1.0,-60,0X1C438,115768,True,0.49
950,1.0,-60,0X1C444,115780,True,0.39
